"Gene.ID","moduleColor","GS.","p.GS."
"ENSG00000144560","blue",0.738526925917488,5.5623134393175e-28
"ENSG00000108788","blue",-0.737544463390258,7.10625055009291e-28
"ENSG00000135678","blue",-0.736936228860029,8.26540474185703e-28
"ENSG00000149633","blue",0.736862970631905,8.41697120350349e-28
"ENSG00000182916","blue",0.736196341751056,9.92767408685677e-28
"ENSG00000145861","blue",0.736139600679141,1.00679170144359e-27
"ENSG00000198768","blue",0.735809384808702,1.0923524183673e-27
"ENSG00000173597","blue",-0.735806801300312,1.09304918610403e-27
"ENSG00000173402","blue",-0.735471605667912,1.18725059000725e-27
"ENSG00000166482","blue",0.734838037291551,1.38757009297297e-27
"ENSG00000214021","blue",0.734756417695296,1.41567611069792e-27
"ENSG00000179639","blue",0.734274876291538,1.59323546018652e-27
"ENSG00000128602","blue",0.733167226128783,2.08879369051225e-27
"ENSG00000169604","blue",0.732977977151074,2.18742034638806e-27
"ENSG00000211445","blue",-0.732784530722859,2.29295600953582e-27
"ENSG00000124126","blue",-0.73179511016767,2.91596629583795e-27
"ENSG00000102316","blue",0.731676516904981,3.00098171219869e-27
"ENSG00000168077","blue",0.731026652812641,3.5118657976451e-27
"ENSG00000155659","blue",-0.730453355632017,4.03277235442311e-27
"ENSG00000145020","blue",0.7304484168872,4.037573891591e-27
"ENSG00000124422","blue",0.729252667632541,5.38152755925894e-27
"ENSG00000117592","blue",-0.729005253582314,5.71007829727621e-27
"ENSG00000162998","blue",0.726769523519676,9.72587430626474e-27
"ENSG00000143603","blue",0.726252372573195,1.09926522271307e-26
"ENSG00000170248","blue",-0.726229323046801,1.10527317400459e-26
"ENSG00000113657","blue",0.726058890543485,1.15070827053355e-26
"ENSG00000142920","blue",0.725988549288673,1.16999018616175e-26
"ENSG00000122034","blue",-0.724664428837138,1.59815748820877e-26
"ENSG00000109854","blue",-0.724307286264151,1.73786011439934e-26
"ENSG00000174083","blue",0.723894320115798,1.91437804409092e-26
"ENSG00000119650","blue",0.722768079413232,2.49011314536702e-26
"ENSG00000234664","blue",0.722572267657638,2.60624552838719e-26
"ENSG00000160685","blue",-0.72255900315247,2.6143018699797e-26
"ENSG00000137501","blue",0.72254880653876,2.6205115010759e-26
"ENSG00000125869","blue",0.720811332002072,3.91998267121121e-26
"ENSG00000139323","blue",-0.720374060493842,4.33603336775832e-26
"ENSG00000138036","blue",0.719789251172723,4.9608059271833e-26
"ENSG00000111237","blue",-0.719595270699085,5.18693057745997e-26
"ENSG00000181045","blue",0.718544810446585,6.5986972946966e-26
"ENSG00000095587","blue",0.718099444752809,7.30533512246204e-26
"ENSG00000036530","blue",0.718091088440976,7.31927908996553e-26
"ENSG00000116260","blue",-0.71788363863925,7.67393868212518e-26
"ENSG00000172164","blue",0.717478706105054,8.4154624833181e-26
"ENSG00000139329","blue",0.717322293373836,8.72033231188722e-26
"ENSG00000167371","blue",0.717239618303028,8.88582785072625e-26
"ENSG00000253304","blue",0.716980760591345,9.42417737668976e-26
"ENSG00000139289","blue",0.716650005055815,1.01588099498194e-25
"ENSG00000164946","blue",0.716446310994771,1.06388795805926e-25
"ENSG00000138303","blue",-0.715748715583056,1.24577318856674e-25
"ENSG00000100842","blue",0.715567650846199,1.29776522456606e-25
"ENSG00000133800","blue",-0.715366960169561,1.35788153462179e-25
"ENSG00000142748","blue",-0.714802206571591,1.54209615429225e-25
"ENSG00000205593","blue",0.714524874800037,1.64132178010971e-25
"ENSG00000106819","blue",0.714440992883899,1.6725484798367e-25
"ENSG00000111271","blue",0.714092461501516,1.80865627136581e-25
"ENSG00000163050","blue",-0.714060384511181,1.82171563286762e-25
"ENSG00000010810","blue",0.713957429034833,1.86425942131449e-25
"ENSG00000102935","blue",0.713510374637727,2.06057839877701e-25
"ENSG00000129244","blue",0.712509757083226,2.57640357900041e-25
"ENSG00000145819","blue",-0.71187484279221,2.96731682162856e-25
"ENSG00000170088","blue",-0.711511118404072,3.21688076887936e-25
"ENSG00000235387","blue",-0.711026933808568,3.58126899247583e-25
"ENSG00000235505","blue",0.710770762302428,3.79013154451516e-25
"ENSG00000117143","blue",-0.710172827980103,4.32523803345199e-25
"ENSG00000144857","blue",0.708714176196816,5.96101933352883e-25
