"Gene.ID","moduleColor","GS.","p.GS.","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.green","p.MM.green"
"ENSG00000196376","turquoise",0.467273868160831,5.50395016159579e-11,-0.548637532002661,2.67037946060024e-15,0.484771261824964,8.06915519341447e-12,-0.28635877217825,0.000111546537902785
"ENSG00000213676","turquoise",0.467159569275102,5.57144383960187e-11,-0.567945337856869,1.66561662967088e-16,0.431715796435009,1.97895853802217e-09,-0.449507946932559,3.47037773450887e-10
"ENSG00000124356","turquoise",-0.467023894053173,5.65260236171219e-11,0.47896225104661,1.54493837491494e-11,-0.431008976445131,2.11631184107564e-09,0.333851691189365,5.59578842464841e-06
"ENSG00000087258","turquoise",-0.466938403151257,5.70432900106201e-11,0.434647643754883,1.49567028092356e-09,-0.495918302217393,2.24096566861559e-12,0.123086759977604,0.102643081137587
"ENSG00000113721","turquoise",-0.466882716637065,5.73826890443428e-11,0.485489591747258,7.44005559031155e-12,-0.420729169421492,5.51992945718315e-09,0.416272072364056,8.28250258434938e-09
"ENSG00000227318","turquoise",-0.466834563026649,5.76777543960895e-11,0.491342823806479,3.81286255571509e-12,-0.382094331130385,1.53827044254498e-07,0.575094555649504,5.6902994207517e-17
"ENSG00000111667","turquoise",0.466722595237241,5.83695452283104e-11,-0.516998603695172,1.7438608975521e-13,0.561564432070918,4.25083359906579e-16,-0.426802444596641,3.14514096325848e-09
"ENSG00000183474","turquoise",-0.46669870769338,5.8518171820008e-11,0.497728850473514,1.81196180587091e-12,-0.416767598757127,7.9194618195803e-09,0.428664262697841,2.64104844541591e-09
"ENSG00000158985","turquoise",-0.466642205060092,5.88711891550855e-11,0.545546001134882,4.0963409574636e-15,-0.388535545616562,9.09355519485174e-08,0.439127776094769,9.69989593695673e-10
"ENSG00000063587","turquoise",-0.466533619559487,5.95554162162145e-11,0.554867512065087,1.11235433868543e-15,-0.418493574052501,6.77090856620471e-09,0.422771700652807,4.57418184207213e-09
"ENSG00000108405","turquoise",0.46652791477352,5.95915760235318e-11,-0.493087020230559,3.11649740782242e-12,0.440246068095663,8.69750823997473e-10,-0.348549925969561,1.99189958882327e-06
"ENSG00000164684","turquoise",0.466400711227532,6.04034077422083e-11,-0.466390947020562,6.04661655914594e-11,0.481999029206752,1.10181427740845e-11,-0.112215803250914,0.136999666616532
"ENSG00000137168","turquoise",-0.466349175820816,6.07353576482279e-11,0.543389581834083,5.5066462572364e-15,-0.560628413780018,4.86889826280279e-16,0.307458069266149,3.14415802526204e-05
"ENSG00000090612","turquoise",0.46627397859028,6.12228934259534e-11,-0.537897893946073,1.158763134538e-14,0.526174833373197,5.42551561509725e-14,-0.134433386221043,0.0744310362382351
"ENSG00000169783","turquoise",0.466270876043719,6.12430898532854e-11,-0.51705827642751,1.73086556823242e-13,0.534102304805937,1.92268094199409e-14,-0.35331368353398,1.40905084435508e-06
