"display name","Degree","BetweennessCentrality","ClusteringCoefficient"
"TIAM1",21,0.00301560926310123,0.185714285714286
"PCCB",21,0.00215148016177822,0.280952380952381
"ASS1",21,0.00407787074421928,0.29047619047619
"ACAT1",21,0.00270827346499265,0.295238095238095
"NADK",21,0.00522729820414235,0.166666666666667
"PSMD10",21,0.00374788075423386,0.223809523809524
"PCNT",21,0.00897659480293817,0.0904761904761905
"CACNA1D",21,0.00514372297030956,0.247619047619048
"CD1C",21,0.00143302615177441,0.323809523809524
"COMMD5",21,0.00490849701199761,0.285714285714286
"CTNNA1",20,0.00432191855738595,0.110526315789474
"LIG1",20,0.00302480515945896,0.205263157894737
"CETN2",20,0.0125453559061086,0.0789473684210526
"BCAT2",20,0.000977865772192599,0.410526315789474
"ENPP3",20,0.00551600484018877,0.163157894736842
"SFRP4",20,0.000980055662900583,0.384210526315789
"P3H3",20,0.000329953673692314,0.847368421052632
"SDC3",20,0.00163550972273473,0.236842105263158
"ADAMTS3",20,0.001376269477317,0.489473684210526
"SDC2",20,0.00226900654462541,0.231578947368421
"ADCY3",20,0.00644880533498731,0.105263157894737
"MCHR1",19,0.00235062651858962,0.245614035087719
"LPAR5",19,0.00307421272646834,0.274853801169591
"RGS4",19,0.00186163204305861,0.362573099415205
"MAPK13",19,0.0026152427918273,0.175438596491228
"IDH3G",19,0.00153923358900578,0.350877192982456
"BCAT1",19,0.00341391595470043,0.39766081871345
"RBPJ",19,0.00604043928037811,0.222222222222222
"AEBP1",19,0.00192193710320071,0.532163742690059
"CACNA1G",19,0.0025111467682226,0.263157894736842
"CACNA1H",19,0.00548101547123708,0.263157894736842
"IVD",19,0.00210622723402835,0.304093567251462
"THBS4",19,0.000223500189492057,0.555555555555556
"ALDH1A2",19,0.00446837240094947,0.0935672514619883
"PRDX6",19,0.00304373247700538,0.304093567251462
"EARS2",19,0.0040448606464307,0.198830409356725
"ADCYAP1",19,0.00358892638565116,0.12280701754386
"RING1",19,0.00358256733219006,0.105263157894737
"TUBB4A",18,0.00589853208649072,0.189542483660131
"RPGR",18,0.00462038451767278,0.156862745098039
"NLGN3",18,0.00125386213313242,0.22875816993464
"IFT20",18,0.00207722117820605,0.261437908496732
"ITGBL1",18,0.000276974909965635,0.660130718954248
"RNPS1",18,0.00213450859568957,0.274509803921569
"JUND",18,0.00243255871196643,0.248366013071895
"FSCN1",18,0.00230709802056676,0.176470588235294
"DLST",18,0.000555555523218056,0.457516339869281
"OGDH",18,0.000969338189203617,0.405228758169935
"CENPA",18,0.00259321870177436,0.163398692810458
"ROBO1",18,0.0047923130280438,0.156862745098039
"FZR1",18,0.00281715850739953,0.176470588235294
"LRGUK",18,0.00837062236298282,0.0457516339869281
"EMD",18,0.00525666109379156,0.0980392156862745
"PLCE1",18,0.00184008974848377,0.352941176470588
"LTBP3",18,0.000309616384411077,0.509803921568627
"TNFRSF4",18,0.00195248605227706,0.26797385620915
"EML4",18,0.00414905499509523,0.111111111111111
"MRPL40",18,0.00146074787836853,0.535947712418301
"CCND3",18,0.000826771088651349,0.359477124183007
"LOXL2",18,0.00095113600403686,0.627450980392157
"SEPTIN5",18,0.00492582637137098,0.111111111111111
"WDR19",17,0.00189933390303713,0.316176470588235
"EFNB1",17,0.00245122406477946,0.154411764705882
"TULP3",17,0.00285498075394342,0.220588235294118
"BCL11A",17,0.00389561041815163,0.176470588235294
"ARL3",17,0.00303826457358423,0.316176470588235
"EPS8",17,0.00174344795807569,0.235294117647059
"LNX1",17,0.00565775880840023,0.0367647058823529
"ACSS3",17,0.00446525557510724,0.242647058823529
"SHANK2",17,0.00228303942057393,0.286764705882353
"PRKAG3",17,0.0064019101858284,0.110294117647059
"CACNG8",17,0.00361529279450541,0.352941176470588
"CACNB4",17,0.00173298781684772,0.301470588235294
"COLGALT2",17,6.699014317157e-05,0.897058823529412
"MAP1B",17,0.00221349576561655,0.242647058823529
"FUT4",17,0.00344685435739456,0.389705882352941
"NAMPT",17,0.00244668533668297,0.191176470588235
"TCF4",17,0.00223952470463869,0.235294117647059
"NDE1",17,0.00251859982891621,0.102941176470588
"SOD3",16,0.00257836785045635,0.233333333333333
"NMUR1",16,0.000533152820564246,0.425
"GNA14",16,0.00209479003185242,0.308333333333333
"GGT5",16,0.00161290863145143,0.341666666666667
"F2R",16,0.00199117155008927,0.2
"EPB41",16,0.00134297189303032,0.266666666666667
"SLC6A1",16,0.00379407564292747,0.208333333333333
"UNC13B",16,0.00311656815452467,0.191666666666667
"TRAP1",16,0.00371050302086453,0.116666666666667
"MXRA5",16,1.30762104778751e-05,0.85
"TRAF5",16,0.000914241513860077,0.2
"KIF7",16,0.00181607479057724,0.191666666666667
"CNIH3",16,0.00208155425279839,0.283333333333333
"DPT",16,2.6720200932605e-05,0.841666666666667
"GNRH1",16,0.00508651184671703,0.075
"NDC80",16,0.00355110757465696,0.216666666666667
"BUB3",16,0.00200085565352632,0.258333333333333
"MED24",16,0.00334077332788429,0.15
"MRPS18C",16,0.000451162269693369,0.65
"SLIT2",16,0.00129459058959003,0.208333333333333
"MYH10",15,0.00247483844638359,0.0571428571428571
"TUBA3D",15,0.00234853248582679,0.266666666666667
"PIP4K2A",15,0.00194578875196623,0.352380952380952
"BCHE",15,0.00147982454325055,0.276190476190476
"FCER1A",15,0.000640015876196144,0.39047619047619
"FST",15,0.00486039437154889,0.180952380952381
