"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04966","Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","10/2511","16/4460",0.625,1.11011549183592,0.500792207051704,0.406383974436186,0.999999988482463,0.927318285058926,"535/760/8992/523/529/9550/245973/526/528/23545",10
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","14/2511","23/4460",0.608695652173913,1.08115595726629,0.442869509733181,0.411821027489116,0.999999988482463,0.927318285058926,"26224/1407/8454/51422/1385/5562/406/9575/6097/4783/8945/4862/5571/6096",14
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","38/2511","65/4460",0.584615384615385,1.03838495236345,0.353813514554954,0.411879553298967,0.999999988482463,0.927318285058926,"3459/5291/1459/4775/5594/3091/1457/3551/4793/5532/6198/5608/1432/10000/8503/29126/5533/5290/5894/3845/7099/7097/1950/5530/5295/1956/114609/5603/3716/6774/5604/5728/4615/5781/2475/4893/1147/5534",38
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","81/2511","141/4460",0.574468085106383,1.02036147334706,0.278845299148088,0.424958619232583,0.999999988482463,0.927318285058926,"1870/637/578/5291/2773/7132/387/6093/4775/2932/2775/3710/1399/5594/6655/4776/3551/6009/10488/5532/6198/5608/1432/1871/59345/3554/6654/1386/10000/8503/1385/10672/2185/5533/5290/3709/1026/2002/468/91860/5894/9826/3845/9475/5156/4193/5879/4609/8737/109/3685/5530/5925/5295/2768/1956/5603/90993/3570/115/3716/1230/2923/1398/8772/6774/5604/54205/55970/2885/29110/6667/1978/23365/6714/801/2475/4893/1147/5534/3690",81
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","107/2511","187/4460",0.572192513368984,1.01631963744551,0.258762319925409,0.428341514412194,0.999999988482463,0.927318285058926,"4293/8491/5601/23118/6416/7132/782/10235/2255/998/6196/4775/9175/8550/51776/285/4214/4616/1399/5594/6655/5494/9252/6789/994/2321/3551/6788/4233/5532/1326/1845/5608/8649/9693/84867/1432/5924/5159/7867/3554/6654/1386/5906/10000/9048/6195/7010/5533/2322/3164/2069/2002/5908/3791/468/4294/5894/3845/4803/5156/51347/5879/4609/5495/2250/2247/1950/5530/2252/2064/9064/5921/2768/1956/93589/775/5603/55799/22808/2005/57551/2264/8986/9261/7048/1849/2277/783/1398/255189/5604/10746/4902/55970/4615/6197/2885/5062/3654/1435/8912/4217/51135/4893/1147/5534",107
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","31/2511","53/4460",0.584905660377358,1.03890053575588,0.323339055361853,0.42927287418107,0.999999988482463,0.927318285058926,"1870/578/5291/5915/4616/5594/6655/6789/4233/1871/6654/10000/8503/2309/5290/51426/1026/5894/3845/1950/5925/5170/2064/5295/1956/3800/6774/5604/2885/6256/4893",31
"hsa00592","Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","7/2511","11/4460",0.636363636363636,1.1302994098693,0.491070404846011,0.431539370192542,0.999999988482463,0.927318285058926,"81579/5322/84647/51/151056/255189/5320",7
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","19/2511","32/4460",0.59375,1.05460971724413,0.351865983723417,0.434347609782198,0.999999988482463,0.927318285058926,"1080/535/3784/29927/6558/60/8992/523/9414/529/9550/109/245973/526/528/9601/115/23545/30001",19
"hsa00512","Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","11/2511","18/4460",0.611111111111111,1.08544625868401,0.412264747409613,0.435058944883314,0.999999988482463,0.927318285058926,"6482/55808/57452/117248/11226/2589/2590/9334/29071/256435/64409",11
"hsa04973","Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","15/2511","25/4460",0.6,1.06571087216249,0.37393541335077,0.435296375310652,0.999999988482463,0.927318285058926,"477/5291/483/6523/10000/8503/5290/2542/481/5295/3098/3099/3101/476/83756",15
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","32/2511","55/4460",0.581818181818182,1.03341660330908,0.28301331247905,0.444123254228151,0.999999988482463,0.927318285058926,"5601/5291/23118/6416/5594/51311/3551/1326/5608/1432/10000/8503/5290/3929/5879/7099/8737/7097/3454/5295/114609/5603/3716/8772/5604/4615/7096/10333/29110/3654/51135/1147",32
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","66/2511","115/4460",0.573913043478261,1.01937561685107,0.238916278088755,0.444378902803486,0.999999988482463,0.927318285058926,"1870/637/3459/578/5601/5291/6416/7132/4775/5289/2932/285/3710/5594/2033/3091/4776/3551/5532/5608/1432/1871/59345/10000/8503/1385/5533/5290/3709/57580/1026/718/8678/91860/5894/3845/3572/5879/4609/2247/5530/5925/81631/23533/3454/64422/5295/5603/3716/9261/1230/6850/8772/6774/5604/54205/55970/29110/6714/801/2475/4277/4893/1147/5534/4067",66
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","54/2511","94/4460",0.574468085106383,1.02036147334706,0.22644744986298,0.453391707279957,0.999999988482463,0.927318285058926,"8837/823/637/330/578/5601/5291/7132/60/113457/332/3710/4616/5594/331/143/3551/8797/5414/1075/329/4001/10000/8503/8795/5290/3709/10376/468/5894/3845/1965/4803/1514/8737/5170/5295/112714/824/1508/840/2021/84790/8772/5604/598/54205/84823/79861/56616/4217/7278/4893/1147",54
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","124/2511","218/4460",0.568807339449541,1.01030694302866,0.177096086094216,0.458408184508065,0.999999988482463,0.927318285058926,"3675/3371/5291/1975/5586/5525/2255/5523/5527/1286/2932/3655/285/55012/5594/6655/5106/2321/5934/23678/3551/5516/898/4233/6009/10488/6198/7531/7450/896/5528/5159/59345/3694/2335/6654/1386/10000/9048/8503/1385/6446/2309/7010/5290/2322/3164/1017/1026/2069/3791/468/3911/5894/5562/3845/4803/5156/1284/3679/4193/3915/9470/5879/7099/4609/7097/7057/22801/3685/2250/2247/1950/2252/5170/23533/2064/3454/3680/9180/5295/1956/3688/1977/5529/118788/90993/117145/29941/3570/2264/3678/3716/1293/7534/6850/2277/7184/7529/1285/5604/3667/7532/4902/23566/598/5728/55970/9134/55844/2885/1129/1435/57121/6256/2057/1282/1978/3908/2475/4893/1147/5520/3690",124
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","42/2511","73/4460",0.575342465753425,1.02191453495033,0.214262439220616,0.463985157421635,0.999999988482463,0.927318285058926,"1870/5291/2932/5594/2033/6655/3551/898/10488/1871/5159/7850/6654/10000/8503/1385/5290/1017/1026/468/5894/3845/5156/4193/1950/5925/5170/2064/5295/1956/2308/2078/90993/7184/4824/5604/5728/9134/2885/2475/4893/1147",42
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","17/2511","29/4460",0.586206896551724,1.041211771653,0.252700197716737,0.477328727818097,0.999999988482463,0.927318285058926,"1870/5594/9252/1871/1026/5894/3845/4193/4609/7057/1950/5925/2064/1956/5604/6714/4893",17
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","61/2511","107/4460",0.570093457943925,1.01259132713258,0.14962536940345,0.481252256813335,0.999999988482463,0.927318285058926,"4257/23633/153/5291/2773/2255/6196/5241/332/5594/6655/331/3839/196/10488/3837/6198/896/604/3836/6654/1386/10000/8503/6195/1385/5290/468/5894/3845/2947/4609/54852/109/2250/2247/1950/5925/2100/2252/405/5295/1956/775/90993/115/7184/6774/2948/5604/154/6197/2885/3838/6256/5465/1978/6714/2475/406886/4893",61
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","26/2511","45/4460",0.577777777777778,1.02624009911943,0.200790216092378,0.482682758877589,0.999999988482463,0.927318285058926,"5291/5594/6655/3551/6198/7704/6654/10000/8503/5290/2322/5894/3845/4609/5292/5295/2209/6774/5604/3684/3728/2885/1978/2475/4893/1147",26
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","57/2511","100/4460",0.57,1.01242532855436,0.142626692030172,0.485420418386394,0.999999988482463,0.927318285058926,"4074/3920/535/4481/9341/29927/7037/60/113457/1781/5289/8417/10382/5878/5869/8992/523/200576/23673/10376/718/821/529/1514/948/5879/7099/9550/7280/7097/7057/3685/2212/245973/5868/51143/526/3688/2209/112714/528/1780/3689/3678/1536/84790/3684/64581/10333/84617/79861/23545/10383/203068/7278/2214/3690",57
"hsa01232","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","31/2511","54/4460",0.574074074074074,1.01966163694559,0.164979688403573,0.491526695588919,0.999999988482463,0.927318285058926,"204/159/50484/102157402/3614/51020/271/51251/2766/122481/50808/221264/132/1633/978/51727/8833/6240/7083/1503/6241/10201/3615/957/100/9583/955/131870/4860/4830/158",31
