"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005770","GO:0005770","late endosome","135/5870","326/19944",0.414110429447853,1.40698780322112,4.78485025881364,2.25675763845482e-06,4.93262740976554e-05,3.31896085775762e-05,"4074/3920/51534/83930/55/6556/23274/23327/55745/3784/54432/54887/9741/55737/5873/23503/51009/1183/5337/88455/7319/5289/11342/25978/10269/6614/29058/57192/10013/5594/64841/10490/128866/54602/22879/8766/7782/64089/23516/84079/54664/6505/9110/9570/23531/8649/1182/9693/4891/51699/9896/55754/200576/55240/51652/10058/9528/5906/149371/114883/8673/51552/79109/9525/9367/57403/54832/3949/7178/79589/55207/10542/1514/967/8291/51028/23392/1318/1317/79139/84888/55435/950/114876/29919/4864/10410/3454/388/114885/55016/221960/1956/91782/23245/112936/143187/2674/23461/55529/137492/11267/146894/284996/57406/92421/538/220972/90809/27065/10791/5604/201931/4534/56888/153129/54734/6517/302/10581/4077/55340/30849/3482/6714/4644/23607/7405/10479/79065/9842/158376/91056/29082/57132",135
"GO:0031901","GO:0031901","early endosome membrane","93/5870","209/19944",0.444976076555024,1.51185738855424,4.80406722725772,2.51254929332868e-06,5.33916724832345e-05,3.59250469133838e-05,"1080/6642/9135/55300/9765/9341/23200/10347/23161/1183/83737/23011/5663/10269/2060/8898/55614/54918/10043/10490/286410/23062/64089/23516/857/6505/9110/5878/1182/10938/4891/5869/8724/9896/55754/8723/200576/10254/10058/23673/8673/51552/79109/29126/399979/4952/79689/58533/157680/55207/26056/55198/23325/5879/8027/1317/55362/10410/9980/81609/5868/55016/221472/1956/29934/2209/2047/9372/26060/57732/10825/51375/9214/7855/9897/538/220972/382/81285/5867/753/27065/93380/253725/387680/387849/56674/79666/9725/55532/10479/3633/6643",93
"GO:0000922","GO:0000922","spindle pole","84/5870","185/19944",0.454054054054054,1.54270086099728,4.78927104270067,2.84141152338269e-06,5.77741202634164e-05,3.88738146664061e-05,"10460/10928/6683/8452/54908/2009/3796/8243/10615/8556/9183/6790/145508/994/22919/81610/10735/8874/84056/8766/79848/5516/56647/9126/28964/4739/1432/55171/57448/9731/991/10274/9525/51646/29899/10426/51119/55112/90417/151648/64793/9113/93323/7283/51164/7178/79768/26586/55755/23005/27229/9585/282809/121441/663/805/79980/26524/140609/115106/1780/9903/79677/11073/25886/80817/5885/3636/23172/79003/84140/134492/8658/9793/51115/9212/80254/9735/79184/10445/10210/801/9055/137886",84
"GO:1902554","GO:1902554","serine/threonine protein kinase complex","69/5870","145/19944",0.475862068965517,1.61679609939494,4.81403799659129,2.86982558171219e-06,5.77741202634164e-05,3.88738146664061e-05,"10926/4331/9821/5256/8621/5255/1459/7520/55437/905/8812/1457/5127/81617/5257/3551/898/54619/56647/219771/9969/2965/2967/892/896/900/5576/90/79109/92/1017/1164/84612/1026/904/1032/5111/1022/902/79616/91/51719/10010/5925/2966/728340/85417/203228/56288/23097/5261/9133/899/64343/7048/5584/57018/51755/983/9134/140775/51341/29110/5613/7405/2475/1147/5591/283106",69
"GO:0101002","GO:0101002","ficolin-1-rich granule","84/5870","186/19944",0.451612903225806,1.53440677034676,4.72892531331359,3.69762343326826e-06,7.25303058064159e-05,4.88026412649981e-05,"22875/3920/240/823/6556/51071/535/7414/8621/387/5236/3320/5317/10075/1832/5594/5836/5713/23406/83716/427/3614/5683/3837/5717/55832/1432/10213/965/8987/51646/3071/7130/5269/22918/23352/1315/47/1729/55860/272/1828/26578/2799/51719/5879/10097/3417/5686/3608/79930/210/10694/978/2207/3689/23218/3101/5701/178/10092/9861/2992/1508/338339/2495/55276/2358/2357/116844/3310/3728/5708/56888/3146/5478/1604/5718/5265/4860/1654/80301/100049587/8972",84
"GO:0031010","GO:0031010","ISWI-type complex","13/5870","15/19944",0.866666666666667,2.9445996592845,4.86562465186914,6.84502552406933e-06,0.000130135316285189,8.75626689555657e-05,"9031/51773/11176/27443/10042/6594/54108/54107/8467/5928/7798/2186/11177",13
"GO:0005643","GO:0005643","nuclear pore","49/5870","96/19944",0.510416666666667,1.73419931856899,4.65689815217556,6.97457250678791e-06,0.000130135316285189,8.75626689555657e-05,"23279/55706/3843/55746/25978/81929/10762/5905/128866/55916/3839/3837/4927/4928/57122/9631/3836/51652/7341/9525/348995/56943/9972/79902/55795/5901/1984/11097/53371/9818/91782/653489/5903/25909/23165/8888/129401/59343/92421/727851/8658/3267/11260/23299/3840/9883/10527/29082/57132",49
"GO:0030027","GO:0030027","lamellipodium","91/5870","209/19944",0.435406698564593,1.4793443264348,4.49891399575509,9.44869823715911e-06,0.000172101289319684,0.000115799835538115,"57147/57679/22902/6642/57514/1495/4254/23224/10787/5586/387/6093/26986/10979/832/10411/55604/2017/3983/4650/8874/4210/22870/8976/28964/11275/23603/10094/2054/4739/8936/56940/10096/29959/54942/2185/5290/5911/7408/117177/5420/23022/92154/10810/23075/324/4076/10677/5879/10006/10211/5962/3685/121512/9051/55917/8394/8476/221472/3688/2241/57630/10630/10092/10109/3636/322/6809/84940/1072/65059/22885/1605/5797/1464/10458/23625/55785/221178/4771/57698/375033/29780/1803/65979/57126/6643/6453/23243/1654/3690",91
"GO:0045335","GO:0045335","phagocytic vesicle","68/5870","148/19944",0.459459459459459,1.56106634743773,4.42447634655521,1.49017850819287e-05,0.00026030992828503,0.000175151778371351,"3920/9066/6556/535/9341/9474/998/6813/5289/1785/10890/3732/57192/8773/4689/8766/9830/9110/1182/8724/8992/200576/6814/5906/6504/8674/23673/8673/51552/4952/84329/9367/57403/8678/5322/948/26056/55198/2317/7097/3685/306/5868/9140/112936/55529/25921/26060/388325/6565/19/1536/538/90809/51762/252983/2923/64127/54734/23580/23545/30849/1991/219972/4641/7405/2475/3633",68
"GO:0070821","GO:0070821","tertiary granule membrane","39/5870","73/19944",0.534246575342466,1.81516417353154,4.50611399726747,1.497207430659e-05,0.00026030992828503,0.000175151778371351,"6556/23250/5337/634/966/8773/945/81619/8649/8673/8987/51552/57826/5269/22918/5787/23352/1315/102/53831/963/2040/2207/3689/23218/138050/1536/338339/5724/3684/2358/196527/199675/9725/57126/4893/100049587/8972/23601",39
