"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","87/2723","151/4848",0.576158940397351,1.0257871990622,0.364387297968999,0.390504196070258,0.999999999915543,0.95471236222047,"330/7414/3371/5601/5291/3918/387/6093/998/1286/2932/3655/1399/5594/6655/394/331/2321/858/857/4233/8395/2889/5599/329/7450/896/7422/5159/3694/6654/5906/10000/8503/103910/5290/7408/2002/5908/3791/3911/1729/5894/10451/9475/2012/1284/3679/3915/2317/5879/7094/7057/22801/3685/1950/91807/5170/8515/8394/3680/340156/1956/3688/673/2909/6464/3678/824/1293/3673/1398/1285/5604/5747/5728/2885/5062/5501/1282/29780/6714/55742/5500/2013/3672/3690",87
"hsa01210","Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","14/2723","23/4848",0.608695652173913,1.08371521180284,0.455512713596968,0.40679207275241,0.999999999915543,0.95471236222047,"586/1431/594/4967/2805/48/5160/1629/3417/1737/3419/2875/5162/3418",14
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","51/2723","88/4848",0.579545454545455,1.03181651253631,0.340934771946151,0.40971977233686,0.999999999915543,0.95471236222047,"4257/5601/5291/6416/7132/387/1906/3320/3162/3551/858/857/5599/6347/5608/1432/7422/90/7850/3554/7341/10000/8503/5290/92/3791/91860/445/5562/2947/1514/6885/5879/7295/3685/658/805/4880/4846/7184/2948/5747/7056/1728/6612/6714/4217/801/659/1147/3690",51
"hsa00533","Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","7/2723","11/4848",0.636363636363636,1.13297499415751,0.499757294843593,0.427981455346081,0.999999999915543,0.95471236222047,"6482/2683/8702/93010/8703/10678/9435",7
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","105/2723","184/4848",0.570652173913043,1.01598301106516,0.250189514345552,0.431873980347874,0.999999999915543,0.95471236222047,"4719/9821/9519/5685/5431/5601/55102/113457/5289/6507/5978/5705/23186/5714/2033/5706/5684/5693/5687/5713/10382/8701/5683/10488/5599/7019/5717/10891/6506/506/6908/10213/515/3065/1385/4709/27019/10376/8678/3092/4698/6874/4294/1349/55860/5468/51164/10121/1213/6875/5686/6391/5433/5440/774/4718/291/112714/2776/7381/90993/26100/55567/516/5701/9861/836/4712/509/7417/84516/84790/3800/2915/54205/7388/5707/64837/5708/79861/9377/55967/6667/127602/8632/10383/30849/160/5718/4217/7278/4541/4513/4519/4536/2475/4512/4538/4535/4508/7052/6392/2878/4539/7416",105
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","80/2723","140/4848",0.571428571428571,1.01736530087613,0.235998349964424,0.441869678111486,0.999999999915543,0.95471236222047,"637/578/5601/5291/8454/23118/2773/7132/23291/2782/2775/3710/1399/5594/162/4776/25939/3551/1174/5599/5532/6198/5608/1432/9616/59345/10000/8503/2185/5533/5290/3709/2770/91860/5894/85363/3845/6885/5879/7099/8737/7097/5530/8451/805/9730/85417/1111/6921/2776/9133/8450/836/1073/8945/8065/164/2923/1398/8772/5604/5747/983/598/54205/55970/1072/4615/545/9582/5062/8905/29110/3654/51135/801/2475/4893/1147/5534",80
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","16/2723","27/4848",0.592592592592593,1.05504549720488,0.324650427111471,0.451495375176705,0.999999999915543,0.95471236222047,"23649/5981/10714/5427/6742/5985/5111/5983/1763/5558/54107/5984/2237/246243/5426/5557",16
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","16/2723","27/4848",0.592592592592593,1.05504549720488,0.324650427111471,0.451495375176705,0.999999999915543,0.95471236222047,"6646/338/5360/9388/3988/9217/3949/6272/948/4864/57552/19/7417/51129/1581/7416",16
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","68/2723","119/4848",0.571428571428571,1.01736530087613,0.217096088883211,0.452285578321899,0.999999999915543,0.95471236222047,"23166/240/23200/23250/384/7301/23411/1399/5594/3091/4776/286410/3988/5878/1374/24145/5869/1432/55754/6513/1385/6446/383/51552/5732/5468/84868/948/9392/5879/3586/7057/102/3685/89790/405/51454/5868/817/6868/10461/6566/9844/714/9261/1849/836/19/840/1398/558/8754/5604/64805/5747/1901/286046/203859/1051/713/712/488/5029/196527/5781/5087/6256/3690",68
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","86/2723","151/4848",0.56953642384106,1.01399654160171,0.197778826729378,0.455710654221529,0.999999999915543,0.95471236222047,"1870/637/578/5291/2773/7132/387/6093/2782/2932/2775/3710/1399/5594/6655/4776/3551/6009/10488/5532/6198/6347/5608/1432/1871/7422/59345/3554/6654/1386/10000/8503/1385/10672/2185/5533/5290/3709/1026/5732/2002/2770/468/91860/5894/9826/3845/9475/4193/5879/4609/8737/109/3685/5530/5925/805/2768/1956/2776/90993/3570/115/3716/1230/836/2923/1398/8772/6774/5604/5747/54205/55970/2885/29110/6667/1978/23365/6714/801/2475/4893/1147/5534/3690",86
"hsa00062","Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","12/2723","20/4848",0.6,1.06823356591994,0.346106932900779,0.455993849634477,0.999999999915543,0.95471236222047,"60481/64834/3030/11332/3032/51144/117145/79993/9200/10449/153364/54898",12
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","51/2723","89/4848",0.573033707865168,1.02022306857522,0.217954112905083,0.457860794803818,0.999999999915543,0.95471236222047,"5291/6916/2983/2773/387/6093/10235/8773/3710/5594/7450/1432/5906/10000/8503/8673/103910/10672/5290/3709/7408/5908/2770/9475/7094/109/91807/23533/2212/340156/83706/3688/2977/2776/2207/2909/115/5584/2982/3673/4846/255189/64805/5028/5592/5501/23365/6714/5500/4067/3690",51
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","73/2723","128/4848",0.5703125,1.01537825927286,0.199582302018445,0.457878662968826,0.999999999915543,0.95471236222047,"9519/578/5291/6672/387/9759/5423/998/1739/5933/10013/5594/2033/5934/898/10488/7531/2965/4055/2967/1108/896/6908/7337/8850/1386/3065/991/8503/1385/5290/1017/8970/1026/718/23352/7533/468/3845/3572/4193/5879/5925/2958/2966/728340/55869/1111/90993/3017/3716/9261/5966/836/7534/3190/2957/7529/3516/6774/7532/983/9134/2885/8347/7874/6714/27044/2961/121504/4893/1654/4067",73
"hsa04146","Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","30/2723","52/4848",0.576923076923077,1.02714765953841,0.222779560053913,0.46950831518332,0.999999999915543,0.95471236222047,"54677/8540/55711/2182/83594/6342/8443/5052/5825/2181/5189/26061/8799/3295/3417/5830/196743/2180/51/5194/10654/5828/25961/8800/225/5827/3418/51703/84188/390916",30
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","39/2723","68/4848",0.573529411764706,1.0211056144823,0.198389814974802,0.471966885294654,0.999999999915543,0.95471236222047,"8837/3459/5601/5291/2769/2773/6416/7132/5522/2775/5594/3551/5516/5054/5599/6347/1432/3827/10000/8503/5290/718/2770/3586/7099/7097/2774/2776/714/7048/8772/4615/713/712/55844/3654/51135/1147/5520",39
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","48/2723","84/4848",0.571428571428571,1.01736530087613,0.18172594770267,0.47354703779515,0.999999999915543,0.95471236222047,"2288/5291/2773/3320/8648/2775/2289/3710/5594/6655/10488/3875/6654/1386/10000/8503/1385/5290/3709/8202/2770/468/91860/5894/3845/9568/109/2100/10499/805/1956/9166/2776/90993/6464/115/7039/5580/4846/7184/5604/3310/2885/6667/9687/6714/801/4893",48
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","44/2723","77/4848",0.571428571428571,1.01736530087613,0.173861663279339,0.478692489415355,0.999999999915543,0.95471236222047,"9031/8193/51773/57492/54556/64431/11176/10847/27443/7528/6594/54108/94239/6603/8099/1108/23506/9555/54891/3065/51377/8289/9643/8089/54617/55274/8932/86/6760/54107/9219/8467/84295/5928/55193/3015/2186/26039/10933/10445/196528/8969/11177/55766",44
"hsa04130","Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","13/2723","22/4848",0.590909090909091,1.05204820886055,0.276951890261003,0.4790726072547,0.999999999915543,0.95471236222047,"9341/8773/9342/10490/10652/9570/2054/8674/8673/55014/143187/6809/10791",13
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","22/2723","38/4848",0.578947368421053,1.03075168641398,0.215411587248684,0.482253433752081,0.999999999915543,0.95471236222047,"2729/79017/4257/2730/50484/2687/2936/10314/9588/51060/2686/2947/3417/5226/494143/2539/290/6240/2948/26873/3418/2878",22
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","22/2723","38/4848",0.578947368421053,1.03075168641398,0.215411587248684,0.482253433752081,0.999999999915543,0.95471236222047,"1195/56681/58484/23786/10767/57396/718/7099/7097/5861/3606/51128/3689/836/840/3684/929/54205/4615/3310/664/4671",22
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","9/2723","15/4848",0.6,1.06823356591994,0.299582308918816,0.488894551967381,0.999999999915543,0.95471236222047,"477/483/5106/760/481/2746/476/2747/358",9
