"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043073","GO:0043073","germ cell nucleus","25/5343","72/19944",0.347222222222222,1.29608833988396,1.5225210127979,0.084796509702307,0.208835417098562,0.143277359265353,"9519/5888/9319/26528/4292/6790/10664/7704/4090/55818/6513/27030/8805/1017/6874/1786/7153/5901/5111/902/11073/83860/84517/353322/7150",25
"GO:0005840","GO:0005840","ribosome","75/5343","243/19944",0.308641975308642,1.1520785243413,1.44285743709976,0.0867045085649377,0.212845583928766,0.146028646004106,"9604/9921/55173/54505/29093/6128/10985/6175/51650/328/5687/5935/10240/9100/2935/64983/57532/51264/6207/51258/6206/10767/8087/11222/1981/64960/6230/2107/6125/440275/64981/64432/6155/6210/57129/54534/29088/87178/6229/6189/285855/6129/54148/4690/113251/51023/200916/23173/6059/9147/6730/3921/134218/64979/6201/28998/118487/6124/56945/51642/63899/51649/51021/51182/9045/347/6136/28977/26046/116540/220717/1654/6173/9553/6139",75
"GO:0032279","GO:0032279","asymmetric synapse","110/5343","367/19944",0.299727520435967,1.11880323181264,1.38958381762618,0.0927724896866539,0.227009211098211,0.155745997240076,"57679/9912/9921/11178/55737/1739/832/1785/22997/1741/25978/8898/118/6790/9762/6128/6175/4897/25/3983/9463/57534/29904/51201/3646/6009/6505/51104/8661/4355/6207/8825/1108/80315/3836/6801/6654/58512/84966/6230/9419/2185/29899/10564/1948/6253/10142/135/64101/9026/10882/4131/6272/4038/9743/577/4193/54583/28988/10006/102/9101/5170/50488/817/57502/30011/6129/10280/55327/3688/775/89910/2059/23426/22986/27020/6854/7804/9478/27185/10611/476/2171/538/26012/6774/5604/22871/81831/10243/5728/257194/1072/200933/10458/664/25945/5062/10509/5071/8224/613/339451/388336/9045/6136/9867/659/388135",110
"GO:0000153","GO:0000153","cytoplasmic ubiquitin ligase complex","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"6400/23032/51439/10299/51465",5
"GO:0001939","GO:0001939","female pronucleus","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"55183/10270/6513/124512/200424",5
"GO:0005797","GO:0005797","Golgi medial cisterna","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"6482/54432/4124/9528/286451",5
"GO:0030681","GO:0030681","multimeric ribonuclease P complex","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"10940/10775/10799/10556/10557",5
"GO:0033018","GO:0033018","sarcoplasmic reticulum lumen","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"813/7184/6345/10345/444",5
"GO:0042564","GO:0042564","NLS-dependent protein nuclear import complex","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"23633/3839/3837/3836/3838",5
"GO:0097197","GO:0097197","tetraspanin-enriched microdomain","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"25939/81619/102/388325/10630",5
"GO:0098830","GO:0098830","presynaptic endosome","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"5289/10490/8766/8723/8674",5
"GO:0140092","GO:0140092","bBAF complex","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"57492/60/6603/8289/6601",5
"GO:1990877","GO:1990877","FNIP-folliculin RagC/D GAP","5/5343","10/19944",0.5,1.8663672094329,1.65768234038862,0.100738167689204,0.238821637418954,0.163850241593196,"8649/64121/10542/10670/153129",5
"GO:0045178","GO:0045178","basal part of cell","96/5343","319/19944",0.300940438871473,1.12333073420413,1.34325466335627,0.101327174682097,0.2394719873698,0.16429643230572,"1080/952/3675/9497/3784/770/6558/7049/483/7037/1739/1906/6507/1741/2060/2683/6790/23428/7430/1832/28231/65009/4363/23516/6510/857/4233/8714/56606/4891/8825/81539/2054/4739/117247/6814/6513/23632/26503/3416/7010/10257/3949/2319/25778/254428/7223/8650/27202/1317/81796/8884/64116/6541/9990/8826/2064/481/3680/1956/4478/55327/288/387700/153562/6328/9056/10163/57477/5745/146894/8613/10630/476/133308/3248/538/360/3636/1014/64127/7439/361/1605/6578/3177/6580/28232/1366/302/160/6584/728/4641/659/4671",96
"GO:0030131","GO:0030131","clathrin adaptor complex","11/5343","28/19944",0.392857142857143,1.46643137884014,1.49404007799657,0.102906078894408,0.241702240860014,0.165826559881827,"2060/162/1174/54812/8546/130340/164/8905/26985/160/11037",11
"GO:0099523","GO:0099523","presynaptic cytosol","11/5343","28/19944",0.392857142857143,1.46643137884014,1.49404007799657,0.102906078894408,0.241702240860014,0.165826559881827,"8554/29843/9097/7341/205564/10550/203228/200933/10458/6613/801",11
"GO:0000124","GO:0000124","SAGA complex","10/5343","25/19944",0.4,1.49309376754632,1.49232111214103,0.105400968935951,0.246800422646949,0.169324309610466,"56970/55578/8850/56943/6883/27097/117143/10629/6314/93624",10
"GO:0033178","GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain","6/5343","13/19944",0.461538461538462,1.72280050101499,1.57696519341958,0.106479607527384,0.247045674781523,0.169492571673885,"523/529/9550/245973/526/528",6
"GO:0043240","GO:0043240","Fanconi anaemia nuclear complex","6/5343","13/19944",0.461538461538462,1.72280050101499,1.57696519341958,0.106479607527384,0.247045674781523,0.169492571673885,"2176/201254/2187/2188/2175/57697",6
"GO:0106068","GO:0106068","SUMO ligase complex","6/5343","13/19944",0.461538461538462,1.72280050101499,1.57696519341958,0.106479607527384,0.247045674781523,0.169492571673885,"5905/84250/5903/286053/79677/23137",6
"GO:0005680","GO:0005680","anaphase-promoting complex","9/5343","22/19944",0.409090909090909,1.52702771680874,1.4961490442103,0.107409316831522,0.248445258689326,0.170452795227755,"996/51433/991/64682/701/119504/11065/246184/51434",9
"GO:0031011","GO:0031011","Ino80 complex","7/5343","16/19944",0.4375,1.63307130825379,1.53241818264133,0.10860197200751,0.250442729387015,0.171823215680143,"7528/54891/51377/54617/86/55249/10445",7
