"","Overall"
"ENSG00000124608",46.870832697526
"ENSG00000159348",46.796869433681
"ENSG00000106823",46.6154040085718
"ENSG00000152939",46.6154040085718
"ENSG00000159714",46.5835193273074
"ENSG00000138757",46.0969313654026
"ENSG00000170088",46.0129279580599
"ENSG00000161940",45.9708163981453
"ENSG00000174485",45.9708163981453
"ENSG00000146872",45.8913939961463
"ENSG00000102007",45.3601544514254
"ENSG00000012171",45.3601544514254
"ENSG00000091986",45.3601544514254
"ENSG00000207949",45.3377392807621
"ENSG00000006042",45.2287911256776
"ENSG00000203645",44.7952921507096
"ENSG00000149308",44.7808085019733
"ENSG00000094975",44.7401836335666
"ENSG00000168615",44.7182654733392
"ENSG00000126249",44.6705275978021
"ENSG00000170004",44.6526147165743
"ENSG00000011201",44.2304298499937
"ENSG00000130669",44.2304298499937
"ENSG00000125869",44.2304298499937
"ENSG00000142973",44.2304298499937
"ENSG00000173598",44.2304298499937
"ENSG00000231298",44.2304298499937
"ENSG00000087502",44.1880093610071
"ENSG00000153487",44.0152442116258
"ENSG00000267206",43.7638044711415
"ENSG00000001036",43.7068989371351
"ENSG00000030304",43.7068989371351
"ENSG00000132334",43.7068989371351
"ENSG00000167553",43.7068989371351
"ENSG00000108443",43.2082980677459
"ENSG00000115241",43.2082980677459
"ENSG00000132879",43.2082980677459
"ENSG00000176532",43.2082980677459
"ENSG00000118564",43.070172151226
"ENSG00000154277",43.070172151226
"ENSG00000213694",43.070172151226
"ENSG00000144857",42.9200806756586
"ENSG00000153283",42.7328879364679
"ENSG00000166265",42.7328879364679
"ENSG00000096060",42.6654310935163
"ENSG00000270820",42.6471615318836
"ENSG00000078328",42.5358429478461
"ENSG00000095139",42.5358429478461
"ENSG00000100796",42.5358429478461
"ENSG00000261115",42.5358429478461
"ENSG00000160469",42.3185882168015
"ENSG00000110092",42.2790873566116
"ENSG00000160299",42.2790873566116
"ENSG00000198768",42.2790873566116
"ENSG00000101871",42.1999788771502
"ENSG00000136560",42.1164754821631
"ENSG00000163406",42.0972852609549
"ENSG00000255471",42.0289152420755
"ENSG00000108395",42.0289152420754
"ENSG00000214708",42.0289152420754
"ENSG00000105325",41.9709806471302
"ENSG00000197948",41.57590087251
"ENSG00000100418",41.5473339215933
"ENSG00000117425",41.5473339215933
"ENSG00000005844",41.4306775768803
"ENSG00000120885",41.3722340554683
"ENSG00000178685",41.2918009760314
"ENSG00000155313",41.2697722738278
"ENSG00000124357",41.1546857369494
"ENSG00000110344",41.0892443728421
"ENSG00000113384",41.0892443728421
"ENSG00000136770",41.0892443728421
"ENSG00000166532",41.0892443728421
"ENSG00000170113",41.0892443728421
"ENSG00000087053",41.0401397417658
"ENSG00000008256",41.0362680304695
"ENSG00000180425",41.0335495948784
"ENSG00000113552",40.8074769047919
"ENSG00000121022",40.6529686121266
"ENSG00000114520",40.6529686121266
"ENSG00000253982",40.6529686121266
"ENSG00000104218",40.6529686121266
"ENSG00000114850",40.6529686121266
"ENSG00000130816",40.6529686121266
"ENSG00000147526",40.6529686121266
"ENSG00000187955",40.6529686121266
"ENSG00000211456",40.424177486449
"ENSG00000119227",40.2369847472583
"ENSG00000087274",40.2369847472583
"ENSG00000171812",40.2356613627465
"ENSG00000130939",40.1695279043067
"ENSG00000161509",40.1695279043067
"ENSG00000165389",40.1695279043067
"ENSG00000235238",39.9623390295267
"ENSG00000101084",39.839909239884
"ENSG00000120693",39.839909239884
"ENSG00000121005",39.839909239884
"ENSG00000142303",39.839909239884
"ENSG00000177189",39.7586033026598
"ENSG00000169385",39.7115314442668
"ENSG00000173852",39.7115314442668
"ENSG00000118217",39.7115314442668
"ENSG00000119685",39.7115314442668
"ENSG00000180357",39.6823395941006
"ENSG00000103222",39.4788983217068
"ENSG00000224877",39.4604815328375
"ENSG00000259985",39.2770219821777
"ENSG00000111052",39.2770219821777
"ENSG00000184203",39.2770219821777
"ENSG00000110422",39.2770219821777
"ENSG00000125257",39.2770219821777
"ENSG00000172893",39.2770219821777
"ENSG00000242052",39.2770219821777
"ENSG00000011143",39.0268498676415
"ENSG00000137177",39.0268498676415
"ENSG00000204619",38.904585300387
"ENSG00000231407",38.8849036871216
"ENSG00000101347",38.864237993193
"ENSG00000134046",38.864237993193
"ENSG00000147324",38.864237993193
