"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","21/2125","66/4848",0.318181818181818,0.725903743315508,-1.98044343509658,0.983538027812246,0.999999359168392,0.896572252865174,"5976/23293/2521/8106/80336/5518/55110/2733/8189/29107/10250/4440/81608/79869/10284/5521/140886/1479/10189/10921/132430",21
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","27/2125","82/4848",0.329268292682927,0.751196556671449,-2.0071436236217,0.983964023911139,0.999999359168392,0.896572252865174,"6932/50507/10454/4792/8717/23417/208/5602/595/10645/5564/53632/3553/3661/7187/51176/207/223/6934/83439/5563/29896/501/3592/126129/6300/7124",27
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","67/2125","184/4848",0.364130434782609,0.830731457800511,-2.06775010207868,0.984522425582647,0.999999359168392,0.896572252865174,"381/9265/30845/5662/2263/2261/8218/9744/7251/273/51510/27131/9727/27128/157/3560/55738/9266/1759/6456/64411/440073/7852/644150/2868/5338/27243/5119/64145/116983/116988/11311/408/3480/5371/375/84249/3561/56904/84364/8853/1601/118813/80223/26119/1234/51160/1173/2350/4218/11031/3265/79643/155382/84552/3579/9230/9146/116985/26052/3303/3305/3133/3134/3105/3106/10552",67
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","38/2125","111/4848",0.342342342342342,0.781023847376789,-2.06157326921427,0.985329059759599,0.999999359168392,0.896572252865174,"90293/672/9820/9886/997/23759/79444/4281/10273/7329/6923/51343/27339/25906/55120/9040/7317/1643/92912/5371/55070/10055/6233/6502/26091/26272/9246/65264/7314/26259/29882/7318/7325/22888/7328/378884/11060/7311",38
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","7/2125","28/4848",0.25,0.570352941176471,-2.01400013850364,0.988300344224352,0.999999359168392,0.896572252865174,"8913/5595/5602/8835/776/5293/7124",7
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","9/2125","34/4848",0.264705882352941,0.603903114186851,-2.0472929921394,0.988537895800587,0.999999359168392,0.896572252865174,"3074/79603/410/55512/2583/91012/2720/3073/10715",9
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","16/2125","54/4848",0.296296296296296,0.67597385620915,-2.11504724924531,0.989054152367982,0.999999359168392,0.896572252865174,"3082/5063/7042/5595/6923/208/7040/7043/112399/10298/207/5058/5293/9915/3265/3725",16
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","23/2125","74/4848",0.310810810810811,0.709087440381558,-2.22755933176638,0.991355548979144,0.999999359168392,0.896572252865174,"4843/3479/816/5214/815/5595/6923/208/1027/2026/5335/112399/6194/3480/5211/207/226/5163/5578/3460/5293/4878/5336",23
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","30/2125","93/4848",0.32258064516129,0.735939278937381,-2.27123553755752,0.991966206797514,0.999999359168392,0.896572252865174,"2534/9846/79603/5332/8717/5595/208/5518/5602/2771/1509/7186/5880/5338/5330/91012/7157/207/2206/5578/5521/5293/94103/3265/2205/53637/6300/165679/10715/7124",30
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","26/2125","84/4848",0.30952380952381,0.706151260504202,-2.39977074745732,0.99460146807391,0.999999359168392,0.896572252865174,"8379/3479/816/815/5566/108/9985/5595/5518/22849/25906/113/10971/89869/3480/5567/3708/808/107/367/163688/111/112/29882/6300/64506",26
