"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000725","BP","GO:0000725","recombinational repair","86/5224","201/18860",0.427860696517413,1.54468850235804,4.80528856087318,2.80263757341595e-06,0.000100767560026001,8.06596411679279e-05,"23028/5980/23376/4361/8554/5888/10721/64710/54556/23503/60/7520/55183/55218/79728/8318/25/8317/4174/7528/23613/1457/25939/5932/4683/5889/10635/8914/1108/25842/254394/9025/10111/10213/3070/54537/9643/78995/84515/8089/54617/84250/84893/51444/3364/86/9656/10097/55345/79035/675/253714/1111/286053/1859/26168/79677/113510/151987/11073/25836/5885/7486/254225/5347/55159/2237/149840/64859/80311/7334/348654/80010/2187/29072/55010/10933/57697/196528/7516/641/57162/23137/112441434/5591/51750",86
"GO:0006302","BP","GO:0006302","double-strand break repair","131/5224","334/18860",0.392215568862275,1.41600031178073,4.74781160637906,2.84672369021329e-06,0.000101774392721298,8.14655628742572e-05,"23028/5980/23376/4361/8554/57492/5888/10721/54969/64710/5423/1459/54556/9319/23503/60/4292/7155/7520/1653/55183/55218/79728/51720/8318/23411/25/8317/24144/4174/55671/7528/23613/1457/25939/5932/4683/23064/5889/6603/2305/10635/8914/1108/51567/25842/254394/9025/10111/10213/8289/64858/3070/54537/27434/78996/9643/7913/84515/8089/25913/54617/55274/84250/56907/84893/51444/3364/83990/86/9656/10097/1763/55345/79035/6601/675/2177/253714/113130/1111/7518/64421/286053/1859/26168/79677/56916/113510/84142/151987/11073/55193/165918/25836/5885/7486/254225/9665/5347/91419/55159/2237/7336/157570/149840/64859/80311/3981/545/7334/348654/80010/2187/29072/375748/55010/79184/10933/57697/196528/3146/7516/641/57162/7405/23137/9937/112441434/5591/51750",131
"GO:0032465","BP","GO:0032465","regulation of cytokinesis","48/5224","96/18860",0.5,1.80513016845329,4.89504200142943,2.87050347344462e-06,0.000102048011123357,8.16845813968984e-05,"6683/8452/65125/5586/387/998/23503/5289/8556/6790/332/51100/994/9371/9738/8766/79848/1894/51652/57448/9928/8678/79733/55143/9585/675/3619/25909/29127/6755/9903/79884/92421/10807/144455/201161/5347/5581/598/9212/285331/29072/30849/55660/7405/55958/801/9055",48
"GO:0036503","BP","GO:0036503","ERAD pathway","55/5224","115/18860",0.478260869565217,1.72664624808576,4.83778597784422,3.30002794440782e-06,0.000116662440403423,9.33827372448717e-05,"51528/8975/4287/7353/6400/51009/54431/55741/111089941/7494/5706/81502/9097/857/57003/9354/4121/23197/550/80267/22926/821/4189/10277/55829/9695/29979/23392/1861/79139/51439/81542/23190/84236/10299/153830/54788/1047/29761/201595/7184/11236/165324/9024/55432/55666/7327/11124/5071/51114/51136/10905/51465/6048/10206",55
"GO:0072665","BP","GO:0072665","protein localization to vacuole","52/5224","107/18860",0.485981308411215,1.75451904223498,4.84444617460059,3.34513794609641e-06,0.000116950458137559,9.36132817482753e-05,"4074/3920/55187/4734/7107/5289/51100/9681/1457/22879/64089/11101/79158/7337/10254/64121/64747/10434/23163/8678/23352/54832/23677/5562/8546/6272/10542/9475/9648/51028/4836/950/51542/26175/10670/137492/11267/84885/7805/151556/51304/51271/55788/4144/7532/144577/56888/220441/26985/30849/23230/23334",52
"GO:1903432","BP","GO:1903432","regulation of TORC1 signaling","52/5224","107/18860",0.485981308411215,1.75451904223498,4.84444617460059,3.34513794609641e-06,0.000116950458137559,9.36132817482753e-05,"8452/23274/8454/4287/7107/56681/27244/81929/51322/9681/2033/6009/6198/8649/1452/7337/64121/5562/51520/7428/10542/4836/5292/4864/8444/55164/203228/51128/64798/10670/151556/51304/54468/7534/6850/8945/4144/7532/84669/144577/220441/140775/153129/7334/29110/7874/6714/57162/23334/2475/96459/158376",52
"GO:0008033","BP","GO:0008033","tRNA processing","63/5224","137/18860",0.45985401459854,1.66019270967237,4.80021519398767,3.51355537642626e-06,0.000121496056950958,9.72518174941799e-05,"60528/6301/54802/3735/60487/24140/51095/1653/51637/51605/16/54517/51493/55687/8846/9692/51654/123263/56986/10940/10775/1787/83480/54974/25940/81627/79712/54482/79828/10799/64172/2926/25917/25821/55226/91801/80745/6741/51002/93587/10556/79691/10557/80746/285381/10785/127253/129450/11157/9147/84881/84520/55006/112858/10978/54931/339487/63899/55039/79979/79693/116461/57604",63
"GO:0008286","BP","GO:0008286","insulin receptor signaling pathway","63/5224","137/18860",0.45985401459854,1.66019270967237,4.80021519398767,3.51355537642626e-06,0.000121496056950958,9.72518174941799e-05,"5166/5286/64710/6720/2932/114882/10580/23411/5594/6655/64397/23516/858/23189/6198/23371/9847/4691/2888/6654/10000/8503/79109/23433/3416/5290/27019/5894/5791/5562/51763/324/5170/5295/55023/1979/5795/140710/5305/2308/2241/55022/4690/51094/51043/5580/80318/252983/81565/9640/79837/10999/3667/5936/10458/1176/2885/5781/4303/9021/8660/5770/2475",63
"GO:0006513","BP","GO:0006513","protein monoubiquitination","34/5224","61/18860",0.557377049180328,2.01227625335777,4.90133075292801,3.71641879471544e-06,0.000127396122525095,0.000101974539488781,"9921/8452/23327/8454/4734/56852/29089/83737/10075/9100/54926/4591/7323/329/867/90025/55906/10277/64844/5830/79596/5194/84541/5828/81844/10477/7324/55167/220441/7334/5071/55182/57697/10210",34
"GO:0006979","BP","GO:0006979","response to oxidative stress","158/5224","418/18860",0.37799043062201,1.36464385940488,4.66627634190481,3.72906816754294e-06,0.000127396122525095,0.000101974539488781,"2729/57679/952/4257/695/240/2730/7444/578/8452/27067/50484/5601/8454/6416/8692/10060/7155/1906/117/83737/27244/5663/4779/29957/23411/25/7494/3091/5693/80344/655/81502/8428/80777/4363/3163/51366/2936/5516/4233/2146/6505/23064/11101/59338/4669/1410/4891/2054/51389/135112/54974/9555/58515/8850/11235/1894/3373/7173/1386/2034/5052/9588/2309/22954/79109/8013/79912/847/8678/23352/468/11035/2686/55829/83636/5562/5111/51526/91298/406/1965/51765/5156/948/50640/4193/55270/7295/1861/8737/87178/3417/5830/27/405/388/2177/10550/5066/210/2308/23657/2241/5796/4929/29761/5603/2176/84919/65018/2539/57190/824/5194/80149/5580/5828/55074/538/7486/10935/219736/2021/1398/8754/5604/25942/983/2110/10231/1072/9943/488/79772/664/56888/8575/1728/375748/4303/54033/5071/6667/4520/347/5478/154807/6714/4217/30001/23607/4512/4277/2878/1147/3240",158
"GO:0090307","BP","GO:0090307","mitotic spindle assembly","40/5224","76/18860",0.526315789473684,1.90013701942452,4.86674731018065,3.74457629419526e-06,0.000127396122525095,0.000101974539488781,"7756/387/3796/8243/25978/332/4605/9371/128866/55125/10735/8766/9639/56647/9126/3837/51652/991/10274/9525/55143/3832/91782/3619/29127/84142/152185/79884/92421/23172/5347/9212/1104/285331/79598/4733/9055/3833/57132/26065",40
"GO:0043543","BP","GO:0043543","protein acylation","38/5224","71/18860",0.535211267605634,1.93225201130212,4.87111169696455,3.8360764181156e-06,0.000129811184886821,0.000103907682093849,"7994/23411/7494/2033/5494/64840/51201/58515/8850/80218/79903/8520/406/9575/55226/2647/2752/4836/5495/114799/51125/2308/9425/25921/84885/51304/28999/80155/85459/157570/79612/51126/340481/253832/254887/23390/51114/84243",38
"GO:0030041","BP","GO:0030041","actin filament polymerization","70/5224","157/18860",0.445859872611465,1.60967021390739,4.74795489987615,4.08906983048319e-06,0.000137636350464349,0.000110171355119178,"55971/395/26999/10787/10565/6710/57704/1739/832/55604/2017/118/25/11078/23406/136319/23242/8976/23189/5216/10094/8936/829/54942/2185/3071/57580/7408/8195/51429/9026/9113/1729/10810/5879/7111/81873/9873/5962/29766/85464/10456/5921/23500/1730/5756/2241/2059/51571/9530/4690/10092/10109/5580/9897/11170/5581/253725/1072/10458/2314/2885/23580/91663/3059/643338/25959/23607/2475/830",70
